year,city,tmin,tmax,rh,sh,sr,ep,ws,rf
01/10/1995,Sokoto,24.8,37.1,47,9.6,17.5,12.3,9.4,0
01/11/1995,Sokoto,21.4,35.9,17,9.5,14.3,20.1,11.8,0
01/12/1995,Sokoto,17.1,30.1,20,9.4,14.5,20.2,9.2,0.25
01/01/1996,Sokoto,19.2,33.2,21,9.5,15.8,19.4,11.3,0
01/02/1996,Sokoto,18.3,32.4,13,9.5,16.7,23.1,7.3,0
01/03/1996,Sokoto,25.8,38.2,19,8.5,19.8,23.1,7.9,0.25
01/04/1996,Sokoto,25.6,40.4,17,8.5,20.7,23.4,7.2,0.25
01/05/1996,Sokoto,27.7,39.4,47,8.3,18,17.4,11,27.9
01/06/1996,Sokoto,26.1,36.1,57,8.1,13.9,14.5,8,95.2
01/07/1996,Sokoto,23.5,32.5,72,8.8,15,8.3,6.3,96.7
01/08/1996,Sokoto,23.2,31.5,76,6.4,16.5,5.8,6.3,135.1
01/09/1996,Sokoto,23.2,32.9,71,6.9,14.5,6,6.9,71.7
01/10/1996,Sokoto,23.8,37.1,29,9.8,17.6,14.5,8.5,0
01/11/1996,Sokoto,21.3,36.3,16,9.9,14.3,21.5,11.3,0
01/12/1996,Sokoto,17.3,30,20,9.7,15.3,20.1,8.9,0
01/01/1997,Sokoto,16.7,31.5,19,8.4,18.9,2.1,10.6,0
01/02/1997,Sokoto,21.4,36.7,14,9,18.2,2.2,9.1,0
01/03/1997,Sokoto,25.3,38.9,20,8.3,17.9,2.1,6.1,0
01/04/1997,Sokoto,28.9,41.2,42,7.1,15.6,1.8,7.2,0.25
01/05/1997,Sokoto,28,39.2,46,9.3,17.3,1.5,8,24.5
01/06/1997,Sokoto,26.6,37.5,53,8.7,11.6,14.4,10.9,36.4
01/07/1997,Sokoto,23.6,32.2,72,8.1,10.9,7.7,9,151.3
01/08/1997,Sokoto,22.9,31.9,77,5.7,11.1,5.7,6.6,139.2
01/09/1997,Sokoto,22.6,32.1,74,7.4,16.3,5.5,5.7,124.4
01/10/1997,Sokoto,23.6,36.1,47,9.7,16.7,1.2,5.4,0.25
01/11/1997,Sokoto,21.6,35.1,27,9.9,12.7,1,7.1,0
01/12/1997,Sokoto,16.5,30,18,7.7,16.3,1.9,8.6,0
01/01/1998,Sokoto,20.9,33.1,14,8.5,19,19.6,11.1,0
01/02/1998,Sokoto,24,35.9,12,9.5,19.3,22,8.6,0
01/03/1998,Sokoto,26,37.9,22,8.3,17.3,21.9,9.8,31
01/04/1998,Sokoto,24.2,39.7,15,6.5,18.6,28.5,8.7,0
01/05/1998,Sokoto,24.8,41.3,37,8.5,17.5,20.7,8.3,4.5
01/06/1998,Sokoto,25.2,36.7,58,8.4,14.1,13.2,9.3,49.1
01/07/1998,Sokoto,23.6,35.5,68,7.3,16.1,10.9,9.4,56.8
01/08/1998,Sokoto,22.7,32.9,72,7.6,16.1,7.5,7.7,130.5
01/09/1998,Sokoto,22.2,34.9,67,8.9,18.3,8.4,6.4,62.8
01/10/1998,Sokoto,21.6,36.6,52,9.3,17.1,14.6,5.6,38.5
01/11/1998,Sokoto,16.7,35.9,17,1.6,16.7,21.6,8.2,0
01/12/1998,Sokoto,13.9,32.3,25,9.9,16.5,22.2,10.3,0
01/01/1999,Sokoto,17.7,30.9,13,9.3,19.3,23.9,11,0
01/02/1999,Sokoto,19.7,34.3,14,9.9,17.5,26.6,10.9,0
01/03/1999,Sokoto,25.3,38.8,39,9.1,18.3,29.7,9.5,0
01/04/1999,Sokoto,28.2,40.1,45,6.4,16.7,21.5,7.5,5.8
01/05/1999,Sokoto,28.9,40.3,63,9.6,16.3,19.7,8.2,0.25
01/06/1999,Sokoto,25.3,35.7,73,8.8,15.5,13,9.8,107.3
01/07/1999,Sokoto,23.9,32.2,83,8.1,12.5,8.3,9.2,168.3
01/08/1999,Sokoto,22.5,28.9,75,7.2,12.6,4.3,6.3,227.9
01/09/1999,Sokoto,22.9,31.9,36,8.2,13,4.9,5,188
01/10/1999,Sokoto,22.7,36.3,21,9.2,11.7,14.5,6.1,0
01/11/1999,Sokoto,20.4,35.5,21,9.3,9.5,19.5,7.3,0
01/12/1999,Sokoto,17.3,30.4,20,1,15.3,21.9,7.1,0
01/01/2000,Sokoto,15,28.5,18,8.5,12.9,23.9,12.1,0
01/02/2000,Sokoto,17.7,31.3,15,9.9,15.2,26.6,11.9,0
01/03/2000,Sokoto,23,37.4,13,9.3,14.5,29.7,7.7,0
01/04/2000,Sokoto,25.4,40.7,26,9,12.2,21.5,6.5,0.25
01/05/2000,Sokoto,26.6,38.8,50,8.4,12.5,19.7,8.3,26.7
01/06/2000,Sokoto,24.8,36.3,57,9.2,11,13,10.1,163.5
01/07/2000,Sokoto,23,32.3,74,7.8,11.6,8.3,9,126.5
01/08/2000,Sokoto,23,31.2,79,6.2,16.5,4.3,7.6,192.5
01/09/2000,Sokoto,23.2,32.9,73,8.1,14.5,4.9,6.7,60
01/10/2000,Sokoto,23.2,35.1,48,9.8,16.5,14.5,6.1,16.6
01/11/2000,Sokoto,20.5,35.5,19,9.9,14.3,19.5,7.1,0
01/12/2000,Sokoto,18,31.9,27,9.4,14.5,21.9,9.1,0
01/01/2001,Sokoto,19,33.5,20,9.5,18.9,19.6,8.3,0
01/02/2001,Sokoto,19,33,20,9.5,18.2,22.4,10.2,0
01/03/2001,Sokoto,21,35.6,12,8.5,17.9,25.5,11.2,0
01/04/2001,Sokoto,27.7,41,36,8.9,15.6,17.5,6.9,0.25
01/05/2001,Sokoto,26.5,38.7,52,8.4,17,14.7,10.4,53.2
01/06/2001,Sokoto,26.2,37.5,57,9.1,15.2,12.9,11.3,72.7
01/07/2001,Sokoto,22.9,31.6,76,8.2,16.3,5.6,8.7,347.4
01/08/2001,Sokoto,23.3,32.1,75,5.9,17,4.8,6.8,109.6
01/09/2001,Sokoto,23.9,34,69,7.9,18,6,6,71.3
01/10/2001,Sokoto,24,37.3,44,9.1,14.6,12.5,4.8,0
01/11/2001,Sokoto,21.3,36.6,24,9.4,15.4,15.2,5.5,0
01/12/2001,Sokoto,20.3,35,23,8.4,15.3,14.7,5.6,0
01/01/2002,Sokoto,17.6,31.9,17,9.9,15.1,18.8,9.2,0
01/02/2002,Sokoto,22.4,37.3,16,9.6,16.4,18.3,5.8,2.8
01/03/2002,Sokoto,24.9,38.1,21,9.4,17.3,20,6.9,10.2
01/04/2002,Sokoto,27.1,39.5,39,8.7,16,15.1,6.2,18.3
01/05/2002,Sokoto,26,35.3,65,7.1,16.5,9.1,7.3,141.4
01/06/2002,Sokoto,25.1,34.9,66,8.4,14.5,7.8,6.9,117
01/07/2002,Sokoto,22.8,31.4,78,9.1,14.1,4.7,6.5,172.6
01/08/2002,Sokoto,22.9,30.9,79,7.7,16,3.4,6.1,211.3
01/09/2002,Sokoto,23.6,33.6,74,8.6,16.9,4.7,5.2,85.8
01/10/2002,Sokoto,23.5,35.9,57,8.6,16.3,8.2,4.3,12.1
01/11/2002,Sokoto,20.5,35.5,18,7.3,18.5,17,7.2,0
01/12/2002,Sokoto,17.1,31.2,19,8.3,16.3,17.1,9.1,0
01/01/2003,Sokoto,16.5,29.1,22,8.3,15.1,16,10.1,0
01/02/2003,Sokoto,18.8,33,13,8.4,16.4,22.4,10.5,0
01/03/2003,Sokoto,23.9,32.9,17,7,18.2,18,4.7,0.25
01/04/2003,Sokoto,26.9,40.4,31,8,17.6,18.3,5.5,0
01/05/2003,Sokoto,26.7,37.9,55,8.8,14.9,12.7,7,38.9
01/06/2003,Sokoto,25.5,36.4,59,8.7,15.1,10.8,7.7,61.9
01/07/2003,Sokoto,22.8,31.7,59,7.1,14.9,5.3,5,150.9
01/08/2003,Sokoto,22.7,31.9,80,7.7,16.6,4.4,4.1,132.5
01/09/2003,Sokoto,23,32.5,72,8.2,17.1,4.7,2.8,164.8
01/10/2003,Sokoto,23.7,36.6,50,9.4,17.1,9.7,2.4,0
01/11/2003,Sokoto,20.5,34.3,22,9.3,15.3,12.6,5.5,0
01/12/2003,Sokoto,17,32.5,15,9.3,16.5,13.3,5.6,0
01/01/2004,Sokoto,15.8,28.9,20,5.7,17.2,16.6,8.4,0
01/02/2004,Sokoto,19.8,35.7,15,8.3,18.9,16.3,3.7,0
01/03/2004,Sokoto,23.8,38,19,8.8,17.1,19.4,5.4,0
01/04/2004,Sokoto,26.2,40.9,22,8.7,18.9,16.1,4.9,5
01/05/2004,Sokoto,27.9,40,48,8.4,16.3,15.7,6.9,54.8
01/06/2004,Sokoto,25.9,37,56,9.4,15.7,10.5,8.4,39.7
01/07/2004,Sokoto,23.4,33.1,71,6.9,17.1,6.3,6.4,204.7
01/08/2004,Sokoto,23.2,31.8,76,6,16.8,4.1,4.7,238.2
01/09/2004,Sokoto,22.7,33.1,71,8.8,16.7,4.8,4.5,99.8
01/10/2004,Sokoto,23.6,37.1,51,9.6,17.3,9.2,2.9,0
01/11/2004,Sokoto,20.5,35.6,22,9.8,13.7,12.5,6.2,0
01/12/2004,Sokoto,17.9,33.3,19,8.9,15.3,13.6,5.9,0
01/01/2005,Sokoto,17.2,32.3,21,9.2,16.7,15.1,7.2,0
01/02/2005,Sokoto,18.7,34,19,9.8,16.2,19.3,8.1,0
01/03/2005,Sokoto,24.4,40.3,14,7.9,16.8,19.8,5.8,0.25
01/04/2005,Sokoto,27.4,40.4,41,9,17.2,15.9,7.3,0.25
01/05/2005,Sokoto,27.7,39.6,45,8,16.2,14,7.6,0.25
01/06/2005,Sokoto,25.3,36.8,59,9.3,15.5,11,9.1,51.8
01/07/2005,Sokoto,23.6,32.8,75,7.7,15.1,5.9,6.9,163.7
01/08/2005,Sokoto,25.9,31.9,82,6.8,16.9,3.4,5.2,355.6
01/09/2005,Sokoto,23,32.3,76,7.2,18.3,3.5,4.1,185.5
01/10/2005,Sokoto,23.7,35.1,64,9.1,18,6.1,4.6,5.5
01/11/2005,Sokoto,19.7,35.2,27,8.9,13.2,13.4,7.1,0
01/12/2005,Sokoto,16.2,30.4,21,9.1,14.5,14.4,11.1,0
01/01/2006,Sokoto,14.9,30.2,20,9.7,18.6,14.9,9.7,0
01/02/2006,Sokoto,17,33.1,15,8.7,18.3,17,10,0
01/03/2006,Sokoto,24.5,39.8,15,9.4,18.1,19.1,8.1,0
01/04/2006,Sokoto,26.9,40.3,32,8.3,17.8,17.4,8.4,2.7
01/05/2006,Sokoto,27.7,39.8,47,8.2,17.3,13.4,8.9,17.8
01/06/2006,Sokoto,26.9,37.8,58,9.5,14.9,12.1,11.2,23.7
01/07/2006,Sokoto,23.8,34.5,68,8.4,15.7,8.2,9.8,200.5
01/08/2006,Sokoto,22.5,31.5,81,7.7,16.5,3.6,6.7,170.4
01/09/2006,Sokoto,23.1,32.9,74,8.4,17.5,4.4,6.5,92.3
01/10/2006,Sokoto,23.7,36.9,54,8,16.4,8.9,5.2,2.4
01/11/2006,Sokoto,19.9,35.6,24,9.9,14.8,14.8,7.3,0.25
01/12/2006,Sokoto,18.8,35.1,20,9.4,15.6,15.1,8.2,0
01/01/2007,Sokoto,17.5,35,22,8.3,16.8,14.8,7,0
01/02/2007,Sokoto,20.8,37.5,18,8.6,19.1,16.9,7.5,0
01/03/2007,Sokoto,24.4,39.8,14,4.9,18.1,19,7.6,0
01/04/2007,Sokoto,20.8,40.8,25,6.9,19.2,17.1,7.1,0
01/05/2007,Sokoto,26.4,38.9,56,9.4,19.3,13.4,9.4,49
01/06/2007,Sokoto,24.5,35,65,9.4,17.8,7.8,9.8,194.4
01/07/2007,Sokoto,23.7,33.6,70,7.9,17,6.3,9.5,160.5
01/08/2007,Sokoto,22.6,31.8,79,7.5,15.4,4,7.2,240.9
01/09/2007,Sokoto,22.8,32.5,75,8.2,17.5,3.9,6.6,7
01/10/2007,Sokoto,22.9,36.7,50,8.2,18.1,8.5,5.8,15.1
01/11/2007,Sokoto,18.5,34.5,22,10.1,17.9,13.9,8.2,0
01/12/2007,Sokoto,17,34.9,23,9.1,14.9,14.2,7.8,0
01/01/2008,Sokoto,16.9,34.2,19,10,14.9,14.6,8.2,0
01/02/2008,Sokoto,16.4,31.6,18,8.9,17,18.5,11.5,0
01/03/2008,Sokoto,22.5,36.9,18,8.7,18.7,10.3,8.7,2.8
01/04/2008,Sokoto,25.9,40.1,37,7.1,16.9,15.5,8.1,1.8
01/05/2008,Sokoto,26.1,36.8,58,9.7,18,9.7,8.3,141.3
01/06/2008,Sokoto,24.1,34.9,65,9,16.5,7.4,8.4,152.8
01/07/2008,Sokoto,23.7,33.4,73,6.6,15.7,5.5,8.3,112.8
01/08/2008,Sokoto,22.7,32.6,77,8.5,13.2,3.4,6.5,175.7
01/09/2008,Sokoto,23.6,34.1,69,8.1,17.1,4.7,6.5,42
01/10/2008,Sokoto,24.7,37.6,57,8.8,18.8,7.7,6.4,16.3
01/11/2008,Sokoto,21.4,38.4,28,8.8,17.5,12.3,4.4,0.25
01/12/2008,Sokoto,18,34.4,27,8.5,14.3,14.2,7.3,0
01/01/2009,Sokoto,17,32.5,22,8.7,15.8,14.6,9.1,0
01/02/2009,Sokoto,21.4,37,22,10.1,16.7,18.1,9.5,0
01/03/2009,Sokoto,21.9,36.9,17,7.5,19.8,20,9.9,0
01/04/2009,Sokoto,28.2,42.1,33,8.6,20.7,17.3,8.2,10
01/05/2009,Sokoto,29,40.1,48,7.8,19.3,13.7,9.8,6.9
01/06/2009,Sokoto,26.1,36.7,61,7.6,18,9.3,9.5,88.7
01/07/2009,Sokoto,24,32.6,73,7.6,13.9,5.6,9,180.6
01/08/2009,Sokoto,23,31.1,81,7.2,15,2.6,6.6,183.1
01/09/2009,Sokoto,23.4,31.9,77,7.8,16.5,4.4,5.6,374.9
01/10/2009,Sokoto,24.3,36.7,56,8.1,14.5,6.1,6,1.7
01/11/2009,Sokoto,21,37.5,22,8.9,17.6,11.6,4.7,0
01/12/2009,Sokoto,18.2,33.4,27,5.1,14.3,14.1,6.4,0
01/01/2010,Sokoto,16.8,33.5,20,9.4,15.4,14.9,6.8,0
01/02/2010,Sokoto,19.7,35.8,16,9.1,18,18.2,5.9,0
01/03/2010,Sokoto,23.9,41,17,9.3,19.4,19.5,6.2,0
01/04/2010,Sokoto,27.1,40.8,33,9.1,19.2,17.6,7.6,0.25
01/05/2010,Sokoto,27.1,39.7,49,7.9,18.3,11.7,8,45
01/06/2010,Sokoto,26.3,37.4,54,8.3,19.1,10.2,8.9,42.6
01/07/2010,Sokoto,23.3,32.5,75,7.8,14.6,4.9,8.5,162.9
01/08/2010,Sokoto,22.4,29.9,84,7.5,16.1,2.4,6.1,304.3
01/09/2010,Sokoto,22.4,31.8,77,7.9,17.2,2.9,5.3,126.4
01/10/2010,Sokoto,22.4,34.8,54,8.4,18.3,6.4,5.1,30.4
01/11/2010,Sokoto,20.8,36.3,24,8.3,17.8,11.1,6,0
01/12/2010,Sokoto,16.5,32.7,24,6.8,15.4,11.7,7.3,0
01/01/2011,Sokoto,18.9,33.1,25,8.8,16.1,13,7.7,0
01/02/2011,Sokoto,16.9,31.2,23,7.2,18.2,14.2,9.8,0
01/03/2011,Sokoto,21.5,37.1,11,7.6,18.3,17.3,9.2,0
01/04/2011,Sokoto,26.6,42.2,33,7.4,18.6,14.5,6.1,0
01/05/2011,Sokoto,27.9,40.6,40,7.3,15,13.4,8,26.5
01/06/2011,Sokoto,25.2,36.3,62,7.9,16.6,8.9,8.8,59.7
01/07/2011,Sokoto,23.5,32.3,75,7.3,12.8,4.8,8,361.6
01/08/2011,Sokoto,22.8,31.3,77,1.6,13.9,3.4,6.1,159.8
01/09/2011,Sokoto,23.3,32.9,69,8.2,17.3,4,5.9,63.8
01/10/2011,Sokoto,23,35.5,51,8.9,17.8,6.7,6.1,48.6
01/11/2011,Sokoto,19.5,36.9,20,7.9,16.4,11.4,7.1,0
01/12/2011,Sokoto,16.6,32.5,24,9.6,15.7,11,5.6,0
01/01/2012,Sokoto,15.4,32.5,18,9.3,14.1,12.1,7.8,0
01/02/2012,Sokoto,17.5,33.4,13,7.1,17.2,13.8,9.1,0
01/03/2012,Sokoto,22.4,39.5,13,7.2,17.7,16.3,7.5,0
01/04/2012,Sokoto,26.8,40.3,34,7.3,19,14.4,8.8,24.1
01/05/2012,Sokoto,27.5,38.7,53,6.9,16.9,10.8,8.5,60.5
01/06/2012,Sokoto,25.6,35.7,62,6.9,17.8,8.2,8.8,36.8
01/07/2012,Sokoto,24.1,33.2,72,7.5,14.5,4.9,7.6,360.8
01/08/2012,Sokoto,22.9,31.1,79,6.1,14.7,2.8,6.1,141.9
01/09/2012,Sokoto,28,32.9,73,8,15,3.6,6.1,107.5
01/10/2012,Sokoto,22.9,36.4,42,8.2,16.6,8.7,5.7,0
01/11/2012,Sokoto,20,36.5,27,7.9,14.9,11.3,8.2,0
01/12/2012,Sokoto,18.3,35.2,24,8.2,16.5,11.6,5.9,0
01/01/2013,Sokoto,17.8,34.5,19,5.7,15.5,12,7.9,0
01/02/2013,Sokoto,24.3,39.5,19,8.3,19.3,12.2,7.8,0
01/03/2013,Sokoto,27.8,40.8,40,8.8,18.3,15.3,7.6,33.3
01/04/2013,Sokoto,28.3,40.8,48,7.6,20.2,12.2,6.6,30.8
01/05/2013,Sokoto,26.2,37.1,58,8.4,19.1,11.7,8.2,67.4
01/06/2013,Sokoto,24,33.3,74,6.7,18.3,8.9,8.1,231.6
01/07/2013,Sokoto,23.1,31.6,79,7,15.8,4.7,7.7,183.1
01/08/2013,Sokoto,23.1,32.9,73,6.7,13.9,3,6,179.2
01/09/2013,Sokoto,22.2,34.4,59,7.5,16.8,3.3,5.3,43.3
01/10/2013,Sokoto,19.6,36.1,26,7.5,17.7,5.2,4.4,0
01/11/2013,Sokoto,16.9,34,22,9.4,14.5,9.9,7.3,0
01/12/2013,Sokoto,19.5,34.9,25,8.6,15.9,10.5,11.1,0
01/01/2014,Sokoto,20.4,37.3,17,6.9,15,10.2,6.8,0
01/02/2014,Sokoto,22.4,38.1,17,8.3,17.3,13.3,8.1,0
01/03/2014,Sokoto,26.9,40.6,44,8.3,20.2,15,7.5,9.2
01/04/2014,Sokoto,26.7,40.8,42,7.7,18.6,11.9,7.6,17.5
01/05/2014,Sokoto,25.5,35.9,60,8.3,17.7,12.1,8.6,71.3
01/06/2014,Sokoto,24,33.1,73,6.9,17,7.9,7.6,287.9
01/07/2014,Sokoto,22.9,30.7,80,7,15.2,4.5,6.1,288.7
01/08/2014,Sokoto,23.3,32.3,73,8.4,11.6,2.5,4.6,108.2
01/09/2014,Sokoto,23.9,36.6,58,7.2,15.9,3.3,5.9,7.4
01/10/2014,Sokoto,20.9,37.2,28,6.3,15.3,5.9,4.9,0
01/11/2014,Sokoto,16.7,33.2,22,8.2,16.2,10.8,7.1,0
01/12/2014,Sokoto,20.3,33.3,23,6.4,15.3,9.7,8.2,0
01/01/2015,Sokoto,20,35,19,7.5,15.7,18.3,9.4,0
01/02/2015,Sokoto,22,37,19,6.8,18.1,22.2,9.1,0.25
01/03/2015,Sokoto,27,41,47,3.7,19.3,21.6,6.6,0
01/04/2015,Sokoto,26,38,48,4.6,18.2,21.2,8.8,11.1
01/05/2015,Sokoto,25,35,64,7.6,18.4,12.4,8.7,114.1
01/06/2015,Sokoto,23,33,75,6.2,17.5,7.3,8.6,128.9
01/07/2015,Sokoto,23,32,81,8.3,16.1,4.1,7.7,296.5
01/08/2015,Sokoto,23,34,70,7.3,15,2.7,6.8,67.2
01/09/2015,Sokoto,23,39,55,7.5,16.2,4.1,6.7,0
01/10/2015,Sokoto,22,37,27,7.7,17.7,8.5,5.5,8.9
01/11/2015,Sokoto,19,40,20,9.9,16.5,17.6,7.9,0
01/12/2015,Sokoto,17.1,35.5,25,5.9,16.3,17.8,5.3,0
01/01/2016,Sokoto,16.6,31.1,18,8.2,17.3,16,8.7,0
01/02/2016,Sokoto,23.7,38.8,23,9.1,18.4,22.4,9.4,0
01/03/2016,Sokoto,26,41.3,15,6.7,18.8,18,7.1,0
01/04/2016,Sokoto,27.5,42,29,6.8,19.1,18.3,7.7,0
01/05/2016,Sokoto,27.2,38.8,54,7.5,19,12.7,8.6,104.5
01/06/2016,Sokoto,25.2,34.7,65,8.1,17.1,13,9.8,82.5
01/07/2016,Sokoto,23.5,32.9,74,6.9,16,8.3,8.5,146.7
01/08/2016,Sokoto,23.3,31.3,79,7.5,15.3,4.3,6.2,171.1
01/09/2016,Sokoto,23.4,33.5,73,8,17.2,4.9,6.6,124.3
01/10/2016,Sokoto,22.6,36.6,50,8.2,17.7,9.2,5.9,3.5
01/11/2016,Sokoto,20.5,35.1,25,8.3,17.2,12.5,7.8,0
01/12/2016,Sokoto,18.4,35.3,23,6.8,16.5,13.6,6.4,0
01/01/2017,Sokoto,20,36,24,8.7,16.3,11,10.5,0
01/02/2017,Sokoto,21.5,38.3,20,9.1,16.3,13,8.8,0
01/03/2017,Sokoto,23.6,40.2,16,9.4,17.4,14.9,7.3,0
01/04/2017,Sokoto,25.9,42,19,8.7,19.7,15.7,9.9,0
01/05/2017,Sokoto,26.8,39.4,51,7.1,17.7,11.4,9.9,19.4
01/06/2017,Sokoto,26.4,37.1,56,8.4,17.5,9.5,10,40.6
01/07/2017,Sokoto,24.6,34.5,67,9.1,16.1,6.1,7.4,153.7
01/08/2017,Sokoto,22.8,31.1,81,7.7,14.6,3,6.1,314.7
01/09/2017,Sokoto,23,31.9,75,8.6,17.3,3.1,5.4,181.3
01/10/2017,Sokoto,23.3,35.3,61,8.6,16.6,5.1,9.3,29.8
01/11/2017,Sokoto,19.3,32,24,7.9,16.4,9.9,11.4,0
01/12/2017,Sokoto,16.4,32.7,31,9.6,15.3,9.6,7.9,0
01/01/2018,Sokoto,19,36.8,13,1.5,15.3,17.7,11,0
01/02/2018,Sokoto,19.3,36.8,9,8.2,17.5,20.1,8.3,0
01/03/2018,Sokoto,22.2,38.8,13,1.9,18.4,19.7,6.4,0
01/04/2018,Sokoto,27.9,41.5,34,1.9,17.9,21.2,8.7,6.6
01/05/2018,Sokoto,27.6,39.8,41,1.8,18,15.9,9.5,45.6
01/06/2018,Sokoto,25.9,37.1,61,1.9,17.3,13.1,9.9,65.9
01/07/2018,Sokoto,24.2,33.2,76,1.4,14.6,7.6,11.2,183.4
01/08/2018,Sokoto,23,30.7,83,7.5,13.1,3.8,7.3,235.6
01/09/2018,Sokoto,22.2,31.2,72,8.2,14.9,5.1,5.6,99.1
01/10/2018,Sokoto,22.3,35.1,39,9.4,15.6,1.3,7.1,0.25
01/11/2018,Sokoto,28.4,36.8,17,7.9,17.5,17.6,9.1,0
01/12/2018,Sokoto,17.3,33.7,15,8.2,14.5,17.8,10.9,0
01/01/2019,Sokoto,15.3,31.4,20,8.8,16.1,18.3,10.4,0
01/02/2019,Sokoto,16.6,34.9,12,8,17,20.7,7.1,0
01/03/2019,Sokoto,21.3,38.1,13,7.6,19.7,20.6,7.9,0
01/04/2019,Sokoto,25.8,39.7,34,7.8,18.3,17.1,10.2,0.7
